CustomerID,Age,Location,TotalPurchases,LastPurchaseDate,LifetimeValue,Contacted,PurchaseProbability
28,27,South,13,2023-12-21 20:45:50.861500,1294.5,Yes,0.45
29,38,West,4,2023-08-31 20:45:50.861502,9808.93,No,0.94
30,69,North,19,2024-02-18 20:45:50.861504,4120.59,No,0.26
31,34,East,16,2023-07-22 20:45:50.861506,5735.19,Yes,0.38
32,69,East,4,2024-04-01 20:45:50.861509,3501.69,No,0.7
33,23,West,11,2023-11-08 20:45:50.861511,7909.84,Yes,0.9
34,33,East,13,2024-04-07 20:45:50.861514,4172.59,No,0.12
35,65,West,7,2024-01-25 20:45:50.861516,3656.79,No,0.24
36,18,West,4,2024-02-07 20:45:50.861519,4055.04,Yes,0.23
37,36,West,6,2024-04-22 20:45:50.861521,3088.13,Yes,0.49
38,53,East,12,2024-04-07 20:45:50.861523,7774.68,Yes,0.89
39,42,South,1,2024-06-20 20:45:50.861526,9269.51,Yes,0.36
40,67,East,12,2023-08-24 20:45:50.861528,3320.57,No,0.39
41,69,East,9,2024-04-13 20:45:50.861530,9533.42,No,0.92
42,47,West,11,2024-03-05 20:45:50.861533,238.09,Yes,0.11
43,37,East,12,2023-08-18 20:45:50.861535,5381.31,Yes,0.63
44,37,West,6,2023-12-13 20:45:50.861537,3115.36,No,0.13
45,32,West,16,2023-11-26 20:45:50.861540,8840.31,No,0.37
46,57,East,9,2023-09-26 20:45:50.861542,2581.16,Yes,0.32
47,50,East,3,2023-09-19 20:45:50.861544,6806.38,Yes,0.68
48,19,West,15,2023-10-07 20:45:50.861547,8123.2,Yes,0.8
49,27,North,4,2023-09-23 20:45:50.861549,4378.27,No,0.5
50,50,South,4,2023-10-01 20:45:50.861551,7546.13,Yes,0.3
51,49,East,8,2023-08-14 20:45:50.861553,8313.06,No,0.89
52,28,West,10,2024-06-11 20:45:50.861556,3852.43,Yes,0.35
53,41,East,10,2023-11-19 20:45:50.861558,1055.84,Yes,0.74
54,53,South,10,2024-04-11 20:45:50.861561,2635.78,No,0.56
55,29,East,4,2024-02-19 20:45:50.861563,5960.16,Yes,0.2
56,68,South,15,2024-05-03 20:45:50.861565,4817.12,Yes,0.55
57,46,North,19,2024-02-13 20:45:50.861568,4930.55,Yes,0.52
58,52,East,13,2024-06-28 20:45:50.861570,4639.29,No,0.35
59,18,East,4,2023-10-21 20:45:50.861572,5293.47,No,0.02
60,18,West,10,2024-02-18 20:45:50.861575,4475.95,Yes,0.15
61,54,North,11,2023-12-09 20:45:50.861577,8541.09,Yes,0.13
62,23,West,14,2024-02-15 20:45:50.861579,4391.05,Yes,0.71
63,56,East,8,2024-06-29 20:45:50.861582,8286.02,No,0.71
64,58,West,8,2023-07-21 20:45:50.861584,5142.49,Yes,0.61
65,35,North,2,2023-09-25 20:45:50.861587,955.13,Yes,0.67
66,33,North,13,2024-04-20 20:45:50.861590,6634.39,No,0.45
67,22,East,3,2023-08-30 20:45:50.861592,2145.29,Yes,0.7
68,59,North,3,2023-11-27 20:45:50.861595,8488.03,No,0.38
69,60,East,2,2023-08-31 20:45:50.861597,6845.46,Yes,0.1
70,49,West,6,2023-11-19 20:45:50.861602,1865.84,Yes,0.96
71,19,East,9,2023-07-08 20:45:50.861604,791.6,No,0.07
72,19,East,5,2023-10-03 20:45:50.861607,195.91,No,0.02
73,57,West,1,2023-09-17 20:45:50.861609,8931.29,Yes,0.98
74,59,North,12,2024-05-13 20:45:50.861611,1421.31,Yes,0.15
75,53,North,3,2024-01-27 20:45:50.861613,7814.0,No,0.26
76,56,North,6,2023-08-24 20:45:50.861616,9259.12,No,0.22
77,29,South,17,2023-08-27 20:45:50.861618,7180.27,No,0.58
78,64,East,9,2023-10-03 20:45:50.861621,4959.1,Yes,0.98
79,36,North,2,2023-07-26 20:45:50.861623,4748.03,Yes,0.27
80,45,South,18,2023-08-12 20:45:50.861625,8838.82,Yes,0.97
81,18,East,17,2024-05-11 20:45:50.861629,4935.26,Yes,0.03
82,32,West,4,2023-09-03 20:45:50.861632,4204.22,Yes,0.89
83,53,East,9,2024-03-31 20:45:50.861634,1823.71,No,0.71
84,30,East,5,2024-05-05 20:45:50.861636,4805.37,Yes,0.28
85,60,West,17,2023-08-02 20:45:50.861639,7858.11,Yes,0.89
86,38,South,4,2024-01-31 20:45:50.861641,5608.65,Yes,0.03
87,29,North,8,2024-03-01 20:45:50.861643,1682.68,Yes,0.63
88,22,North,4,2024-01-22 20:45:50.861645,1523.91,Yes,0.33
89,24,North,19,2024-05-06 20:45:50.861648,6529.68,No,0.97
90,22,West,18,2024-03-19 20:45:50.861650,5438.31,No,0.17
91,65,West,2,2023-12-15 20:45:50.861652,3324.28,No,0.9
92,21,North,19,2023-09-07 20:45:50.861654,1555.44,No,0.33
93,30,East,18,2023-10-08 20:45:50.861657,1682.71,No,0.89
94,54,East,3,2023-08-12 20:45:50.861659,1381.18,Yes,0.51
95,58,North,6,2024-05-26 20:45:50.861662,5831.33,Yes,0.51
96,32,North,6,2024-01-18 20:45:50.861664,1013.38,No,0.39
97,33,West,13,2024-02-18 20:45:50.861666,9114.39,No,0.53
98,38,North,13,2024-06-20 20:45:50.861668,921.42,No,0.94
99,53,South,3,2023-12-08 20:45:50.861671,8023.75,No,0.89
100,41,East,16,2024-06-11 20:45:50.861673,8783.6,No,0.68
